SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

REDE:,Hidrométrica

CÓDIGO,NOME,ALTITUDE (M),LATITUDE (ºN),LONGITUDE (ºW),COORD_X (M),COORD_Y (M),BACIA,RIO,ÁREA DRENADA (KM2),COTA ZERO ESCALA (M),DISTRITO,CONCELHO,FREGUESIA,ENTIDADE RESPONSÁVEL (AUTOMÁTICA),ENTIDADE RESPONSÁVEL (CONVENCIONAL),TIPO ESTAÇÃO (AUTOMÁTICA),TIPO ESTAÇÃO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (CONVENCIONAL),ENCERRAMENTO (CONVENCIONAL),ENTRADA FUNCIONAMENTO (AUTOMÁTICA),ENCERRAMENTO (AUTOMÁTICA),TELEMETRIA,ESTADO
30G/07H,CASA QUEIMADA,23,37.232,-8.381,178023.062,29568.012,ARADE,RIO ARADE,225.98,-,FARO,SILVES,SILVES,-,CCDR-ALGARVE,-,Escala com descarregador,01-10-1933,30-09-1952,-,-,NÃO,EXTINTA,
01H/03H,CASAIS,58,42.147,-8.203,194265.6,575253,MINHO,RIO MINHO,15163.62,38.61,VIANA DO CASTELO,MELGAÇO,CRISTOVAL,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,ESCALA,01-03-1967,-,07-08-2003,-,SIM,SUSPENSA,
H006H,CASAL VERMELHO,-,-,-,-,-,LIS/RIBEIRAS COSTEIRAS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
12M/01H,CASTANHEIRA,428,40.283,-7.424,260270.887,368507.363,TEJO,RIO ZÊZERE,355.23,58.57,CASTELO BRANCO,COVILHÃ,BOIDOBRA,-,CCDR-CENTRO,-,ESCALA,01-10-1934,30-09-1948,-,-,NÃO,EXTINTA,
06M/05H,CASTANHEIRO,153,41.242,-7.392,262131.187,475064.813,DOURO,RIO TUA,3767.41,107.83,BRAGANÇA,CARRAZEDA DE ANSIÃES,CASTANHEIRO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-08-2006,23-10-2008,NÃO,DESATIVADA,
06M/01H,CASTANHEIRO (R.E.),172,41.242,-7.39,262263.475,475068.05,DOURO,RIO TUA,3766.76,107.83,BRAGANÇA,CARRAZEDA DE ANSIÃES,CASTANHEIRO,-,EDP,-,LIMNIMÉTRICA,15-11-1958,21-07-2008,-,-,NÃO,EXTINTA,
10P/02H,CASTELO BOM,580,40.628,-6.907,303701.575,407310.988,DOURO,RIO CÔA,944.16,568.24,GUARDA,ALMEIDA,SENOURAS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,04-06-2002,-,NÃO,SUSPENSA,
10P/01H,CASTELO BOM (R.E.),580,40.628,-6.907,303701.575,407310.988,DOURO,RIO CÔA,944.16,825.97,GUARDA,ALMEIDA,SENOURAS,-,EDP,-,LIMNIMÉTRICA,16-01-1957,-,-,-,NÃO,ATIVA,
08J/02H,CASTRO DAIRE,459,40.892,-7.933,216824.037,435871.7,DOURO,RIO PAIVA,288.35,445.39,VISEU,CASTRO DAIRE,CASTRO DAIRE,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,02-01-2002,-,NÃO,ATIVA,
08J/01H,CASTRO DAIRE (R.E.),464,40.891,-7.932,216985.312,435790.212,DOURO,RIO PAIVA,288.17,445.39,VISEU,CASTRO DAIRE,CASTRO DAIRE,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,07-11-1945,-,-,-,NÃO,ATIVA,
02E/02H,CAVADA,9,41.889,-8.786,145851.588,546833.725,MINHO,RIO COURA,233.11,-,VIANA DO CASTELO,CAMINHA,VILAR DE MOUROS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,02-09-2003,-,NÃO,ATIVA,
09M/01H,CELORICO DA BEIRA,403,40.669,-7.382,263546.848,411364.644,MONDEGO,RIBEIRA DOS TAMANHOS,86.07,-,GUARDA,CELORICO DA BEIRA,FORNO TELHEIRO,Autoridade Nacional da Água,CCDR-CENTRO,SENSOR DE NÍVEL,Limnigráfica,01-10-1981,-,05-11-2001,-,NÃO,ATIVA,
04J/03H,CENTRAL DE PADRÕES,777,41.655,-7.981,212665.548,520589.262,CÁVADO/RIBEIRAS COSTEIRAS,RIBEIRA AMIAR OU DA BORRALHA,50.03,637.44,VILA REAL,MONTALEGRE,SALTO,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1943,07-02-1950,-,-,NÃO,EXTINTA,
30E/01H,CERCA DOS POMARES,69,37.326,-8.758,144591.275,40193.55,RIBEIRAS DO ALGARVE,RIBEIRA DE ALJEZUR OU DA CERCA OU DE CHILRÃO,38.57,37.66,FARO,ALJEZUR,ALJEZUR,-,CCDR-ALGARVE,-,LIMNIMÉTRICA,01-10-1975,30-11-1997,-,-,NÃO,EXTINTA,
17G/08H,CHAMUSCA,11,39.364,-8.489,169306.881,266267.81,TEJO,RIO TEJO,67689.86,10.23,SANTARÉM,GOLEGÃ,AZINHAGA,-,CCDR-LVT,-,ESCALA,01-10-1911,31-10-1985,-,-,NÃO,EXTINTA,
03M/01H,CHAVES,348,41.736,-7.471,255049.747,529871.315,DOURO,RIO TÂMEGA,989.43,-.1,VILA REAL,CHAVES,SANTA MARIA MAIOR,-,CCDR-NORTE,-,ESCALA,01-02-1937,30-06-1949,-,-,NÃO,EXTINTA,
20B/02H,CHELEIROS,55,38.888,-9.328,96353.691,214030.653,RIBEIRAS DO OESTE,RIO DO LIZANDRO,61.25,-,LISBOA,MAFRA,CHELEIROS,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,13-01-2015,-,NÃO,ATIVA,
H007H,CHIQUEDA,-,-,-,-,-,RIBEIRAS DO OESTE,RIO ALCOA,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
12J/02H,CHÃO DO CADAVAL,448,40.17,-7.928,217491.396,355710.779,MONDEGO,RIO CEIRA,72.59,-,COIMBRA,ARGANIL,TEIXEIRA,-,CCDR-CENTRO,-,ESCALA,01-10-1920,31-03-1966,-,-,NÃO,EXTINTA,
08O/03H,CIDADELHE,261,40.914,-7.102,286909.307,438828.972,DOURO,RIO CÔA,1741.99,253.96,GUARDA,FIGUEIRA DE CASTELO RODRIGO,VALE DE AFONSINHO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-12-2001,31-07-2004,NÃO,DESATIVADA,
08O/02H,CIDADELHE (R.E.),251,40.915,-7.101,286987.857,438910.177,DOURO,RIO CÔA,1743.1,253.96,GUARDA,PINHEL,CIDADELHE,-,EDP,-,LIMNIMÉTRICA,28-09-1955,-,-,-,NÃO,ATIVA,
31J/01H,COIRO DA BURRA,70,37.1,-7.903,220429.681,14923.353,RIBEIRAS DO ALGARVE,RIO SECO,36.79,-,FARO,FARO,ESTOI,Autoridade Nacional da Água,CCDR-ALGARVE,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1985,-,26-06-2001,-,SIM,ATIVA,
21A/05H,COLARES,19,38.802,-9.447,85877.163,204666.165,RIBEIRAS DO OESTE,RIBEIRA DE COLARES,32.28,-,LISBOA,SINTRA,COLARES,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1986,-,14-11-2001,-,NÃO,ATIVA,
23E/02H,COMPORTA,0,38.413,-8.67,153121.477,160828.947,SADO,RIO SADO,6530.32,-.57,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,01-10-1955,31-01-1966,-,-,NÃO,EXTINTA,
17G/01H,CONSTÂNCIA,28,39.471,-8.339,182272.11,278112.945,TEJO,RIO ZÊZERE,67403.07,16.89,SANTARÉM,CONSTÂNCIA,CONSTÂNCIA,-,CCDR-LVT,-,LIMNIMÉTRICA,01-10-1938,30-09-1974,-,-,NÃO,EXTINTA,
28F/01H,CORTE DOS AMEIXIAIS,35,37.649,-8.62,156984.769,75945.725,MIRA,RIBEIRA DO TORGAL,216.7,-,BEJA,ODEMIRA,SÃO LUÍS,Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,ESCALA,01-10-1955,30-09-1964,12-07-2001,11-04-2002,NÃO,DESATIVADA,
15E/04H,CORTES,84,39.698,-8.788,143865.97,303500.793,LIS/RIBEIRAS COSTEIRAS,RIO LIS,58.98,-,LEIRIA,LEIRIA,CORTES,-,CCDR-CENTRO,-,ESCALA,01-10-1935,05-02-1966,-,-,NÃO,EXTINTA,
31H/01H,COTOVIO,51,37.14,-8.188,195080.691,19381.056,RIBEIRAS DO ALGARVE,RIBEIRA DA QUARTEIRA OU DE ALTE,318.89,23.9,FARO,ALBUFEIRA,FERREIRAS,-,CCDR-ALGARVE,-,LIMNIMÉTRICA,01-10-1976,31-05-1980,-,-,NÃO,EXTINTA,
18L/01H,COUTO DE ANDREIROS,208,39.269,-7.604,245622.239,255789.902,TEJO,RIBEIRA DA RAIA OU DE SEDA,244.53,-,PORTALEGRE,CRATO,CRATO E MÁRTIRES,Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1960,-,10-07-2001,-,SIM,ATIVA,
03H/04H,COVAS (R.E.),99,41.724,-8.298,186264.666,528263.242,CÁVADO/RIBEIRAS COSTEIRAS,RIO HOMEM,118.15,93.74,BRAGA,TERRAS DE BOURO,MOIMENTA,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,01-01-1955,-,-,-,NÃO,ATIVA,
07G/01H,CRESTUMA (R.E.),3,41.071,-8.5,169196.134,455791.345,DOURO,RIO DOURO,96935.23,-1.38,PORTO,GONDOMAR,FOZ DO SOUSA,-,EDP,-,LIMNIMÉTRICA,19-01-1967,06-10-1989,-,-,NÃO,EXTINTA,
04J/04H,CUNHAS (R.E.),222,41.53,-7.851,223552.162,506769,DOURO,RIO BEÇA,337.28,196.27,VILA REAL,RIBEIRA DE PENA,SANTO ALEIXO DE ALÉM-TÂMEGA,-,EDP,-,LIMNIMÉTRICA COM DESCARREGADOR,17-12-1949,-,-,-,NÃO,EXTINTA,
03L/04H,CURALHA,-,41.709,-7.522,250902.861,526748.337,DOURO,RIO TÂMEGA,-,33448,VILA REAL,CHAVES,SÃO PEDRO DE AGOSTÉM,-,-,SENSOR DE NÍVEL,-,-,-,01-11-2017,-,SIM,ATIVA,
03L/02H,CURALHA (R.E.),344,41.709,-7.522,250902.861,526748.337,DOURO,RIO TÂMEGA,1070.46,334.48,VILA REAL,CHAVES,SÃO PEDRO DE AGOSTÉM,-,EDP-INAG,-,Limnigráfica,30-09-1985,-,-,-,NÃO,ATIVA,
30L/02H,CURRAL DE BOIEIROS,18,37.18,-7.624,245227.697,23912.866,RIBEIRAS DO ALGARVE,RIBEIRA DE ALMARGEM,61.25,12.11,FARO,TAVIRA,TAVIRA (SANTA MARIA),Autoridade Nacional da Água,CCDR-ALGARVE,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1975,-,17-05-2001,-,SIM,ATIVA,
10H/01H,DESTRIZ,233,40.648,-8.283,187340,408832.434,VOUGA/RIBEIRAS COSTEIRAS,RIO ALFUSQUEIRO,144.72,-,VISEU,OLIVEIRA DE FRADES,DESTRIZ,-,CCDR-CENTRO,-,ESCALA,20-09-1974,01-10-1985,-,-,NÃO,EXTINTA,
31F/02H,DIQUE DA TORRE,0,37.149,-8.59,159387,20417,RIBEIRAS DO ALGARVE,RIBEIRA DA TORRE OU BARRANCO DA LAGOA GARCIA,48.28,-,FARO,PORTIMÃO,ALVOR,-,CCDR-ALGARVE,-,LIMNIMÉTRICA,12-08-1960,31-01-1966,-,-,NÃO,EXTINTA,
20M/01H,DOM JOÃO VEIROS,238,38.987,-7.461,258261.355,224588.959,TEJO,RIBEIRA DE ALMURO,168.75,-,PORTALEGRE,MONFORTE,MONFORTE,-,CCDR-ALENTEJO,-,ESCALA,01-11-1955,31-03-1976,-,-,NÃO,EXTINTA,
10F/01H,EIROL,10,40.61,-8.53,166426.385,404671.146,VOUGA/RIBEIRAS COSTEIRAS,RIO VOUGA,2319.21,-,AVEIRO,ALBERGARIA-A-VELHA,SÃO JOÃO DE LOURE,-,CCDR-CENTRO,-,ESCALA,01-10-1934,31-10-1966,-,-,NÃO,EXTINTA,
27I/01H,ENTRADAS,167,37.764,-8.02,209927.628,88664.025,GUADIANA,RIO COBRES OU RIBEIRA DE TERGES,51.26,164.14,BEJA,CASTRO VERDE,CASTRO VERDE,Autoridade Nacional da Água,CCDR-ALENTEJO,Sensor de nível com descarregador,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1970,-,09-05-2001,-,SIM,ATIVA,
07H/01H,ENTRE-OS-RIOS (R.E.),6,41.079,-8.296,186342.331,456704.508,DOURO,RIO DOURO,96560.17,5.56,AVEIRO,CASTELO DE PAIVA,SANTA MARIA DE SARDOURA,-,EDP,-,ESCALA,01-01-1961,16-09-1966,-,-,NÃO,EXTINTA,
06K/05H,ERMIDA CORGO,138,41.23103,-7.74667,232402.06,473608.22,DOURO,RIO CORGO,309.69,120,VILA REAL,VILA REAL,ERMIDA,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,12-11-2002,-,SIM,ATIVA,
06K/01H,ERMIDA CORGO (R.E.),138,41.23,-7.749,232194.719,473477.552,DOURO,RIO CORGO,294.22,120,VILA REAL,VILA REAL,ERMIDA,-,EDP-INAG,-,LIMNIMÉTRICA,30-08-1956,-,-,-,NÃO,ATIVA,
07J/01H,ERMIDA DOURO (R.E.),59,41.122,-7.952,215213.468,461475.011,DOURO,RIO DOURO,92056.97,27.11,VISEU,RESENDE,RESENDE,-,EDP,-,LIMNIMÉTRICA,20-03-1972,-,-,-,NÃO,ATIVA,
26G/01H,ERMIDAS DO SADO,39,37.995,-8.387,177705.435,114279.631,SADO,RIO SADO,2109.5,-,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,-,CCDR-ALENTEJO,-,ESCALA,01-10-1941,01-02-1961,-,-,NÃO,EXTINTA,
08P/03H,ESCALHÃO,173,40.962,-6.876,305864.823,444450.407,DOURO,RIO ÁGUEDA,2541,151.5,GUARDA,FIGUEIRA DE CASTELO RODRIGO,ESCALHÃO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,27-12-2001,-,SIM,SUSPENSA,
08P/01H,ESCALHÃO (R.E.),171,40.961,-6.875,305942.458,444353.896,DOURO,RIO ÁGUEDA,2537.08,151.5,GUARDA,FIGUEIRA DE CASTELO RODRIGO,ESCALHÃO,-,EDP-INAG,-,LIMNIMÉTRICA,17-10-1958,-,-,-,NÃO,ATIVA,
07H/02H,ESCAMARÃO,24,41.069,-8.255,189769.573,455547.303,DOURO,RIO DOURO,92440.01,5.36,VISEU,CINFÃES,SOUSELO,-,CCDR-NORTE,-,ESCALA,01-10-1923,30-09-1952,-,-,NÃO,EXTINTA,
08Q/02H,ESCARIGO,555,40.842,-6.826,310266.696,431153.233,DOURO,RIBEIRA DE TOURÕES,114.5,-,GUARDA,FIGUEIRA DE CASTELO RODRIGO,ESCARIGO,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-12-2001,31-08-2016,NÃO,DESATIVADA,
08Q/01H,ESCARIGO TOURÕES (R.E.),583,40.843,-6.823,310489.597,431228.979,DOURO,RIBEIRA DE TOURÕES,115.88,538.45,GUARDA,FIGUEIRA DE CASTELO RODRIGO,ESCARIGO,-,EDP,-,LIMNIMÉTRICA,04-10-1983,-,-,-,NÃO,EXTINTA,
16G/02H,ESCORREGA,37,39.529,-8.347,181626.273,284590.722,TEJO,RIO ZÊZERE,3977.2,18.82,SANTARÉM,TOMAR,SÃO PEDRO DE TOMAR,-,CCDR-LVT,-,ESCALA,09-10-1941,30-09-1964,-,-,NÃO,EXTINTA,
19D/02H,ESPADANAL,4,39.033,-8.894,134143.134,229710.824,TEJO,RIO TEJO,70820.29,2.74,LISBOA,AZAMBUJA,VILA NOVA DA RAINHA,-,CCDR-LVT,-,ESCALA,01-10-1974,01-01-1983,-,-,NÃO,EXTINTA,
04E/01H,ESPOSENDE,0,41.528,-8.783,145789.11,506748.374,CÁVADO/RIBEIRAS COSTEIRAS,RIO CÁVADO,1584.24,-,BRAGA,ESPOSENDE,ESPOSENDE,-,CCDR-NORTE,-,ESCALA,01-07-1941,30-04-1948,-,-,NÃO,EXTINTA,
21B/02H,ESTAÇÃO AGRONÓMICA NACIONAL,17,38.701,-9.313,97384.214,193281.823,TEJO,RIBEIRA DA LAJE,37.54,-,LISBOA,OEIRAS,OEIRAS E SÃO JULIÃO DA BARRA,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,Limnigráfica,01-10-1985,-,14-11-2001,-,SIM,SUSPENSA,
11I/01H,FERREIRÓS (R.E.),147,40.466,-8.037,208189.89,388589.877,MONDEGO,RIO DÃO,713.94,139.57,VISEU,TONDELA,FERREIRÓS DO DÃO,-,EDP,-,Limnigráfica,21-11-1973,09-03-1993,-,-,NÃO,EXTINTA,
16D/01H,FERVENÇA,12,39.567,-8.989,126425.88,289144.833,RIBEIRAS DO OESTE,RIO ALCOBAÇA,205.12,-,LEIRIA,ALCOBAÇA,MAIORGA,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,Limnigráfica,04-03-1980,-,14-11-2001,-,NÃO,ATIVA,
06G/04H,FERVENÇA (LEÇA),305,41.307,-8.444,173926,482034,LEÇA,RIO LEÇA,11.12,-,PORTO,SANTO TIRSO,MONTE CÓRDOVA,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1980,30-09-1990,-,-,NÃO,EXTINTA,
19K/01H,FIGUEIRA E BARROS,139,39.047,-7.742,233868.539,231145.445,TEJO,RIBEIRA GRANDE OU DE AVIZ,889.83,-,PORTALEGRE,AVIS,FIGUEIRA E BARROS,-,CCDR-ALENTEJO,-,Limnigráfica,01-10-1985,30-09-1990,-,-,NÃO,EXTINTA,
16K/03H,FIGUEIRÓ (R.E.),61,39.543,-7.803,228339.559,286192.62,TEJO,RIO TEJO,59639.24,45.11,PORTALEGRE,NISA,AMIEIRA DO TEJO,-,EDP,-,ESCALA,15-12-1966,30-09-1969,-,-,NÃO,EXTINTA,
23I/01H,FLOR DA ROSA,163,38.361,-8.068,205704.035,154828.284,SADO,RIBEIRA DO XARRAMA,328.03,-,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,Autoridade Nacional da Água,CCDR-ALENTEJO,SENSOR DE NÍVEL,LIMNIMÉTRICA COM DESCARREGADOR,01-10-1933,30-06-1970,24-05-2001,-,SIM,ATIVA,
02G/02H,FONTE VELHA,-,41.861342,-8.410783,176843.65,543761.96,LIMA,RIO DE AZERE,-,-,VIANA DO CASTELO,ARCOS DE VALDEVEZ,COUTO,APA,-,SENSOR DE NÍVEL,-,-,-,21-12-2018,-,SIM,ATIVA,
H009H,FONTES,-,-,-,-,-,LIS/RIBEIRAS COSTEIRAS,RIO LIS,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
15E/06H,FONTES (LIS),78,39.687638108,-8.779071204,144586.82,302351.62,LIS/RIBEIRAS COSTEIRAS,RIO LIS,56.06,-,LEIRIA,LEIRIA,CORTES,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,04-04-2002,-,NÃO,ATIVA,
04E/06H,FORJÃES,20,41.616,-8.752,148426.808,516515.207,NEIVA,RIO NEIVA,209.41,-,BRAGA,ESPOSENDE,FORJÃES,Autoridade Nacional da Água,CCDR-NORTE,SENSOR DE NÍVEL,LIMNIMÉTRICA,05-08-1980,-,01-06-2003,-,NÃO,ATIVA,
03F/01H,FORNO DA CAL,19,41.774,-8.559,164613.793,533951.129,LIMA,RIO LIMA,2143.48,-,VIANA DO CASTELO,PONTE DE LIMA,RIBEIRA,-,CCDR-NORTE,-,ESCALA,01-10-1947,30-09-1988,-,-,NÃO,EXTINTA,
30G/05H,FOZ DA LAJE,22,37.257,-8.493,168112.993,32430.816,ARADE,RIBEIRA DE ODELOUCA,461.93,-,FARO,MONCHIQUE,ALFERCE,-,CCDR-ALGARVE,-,ESCALA,01-11-1954,30-09-1962,-,-,NÃO,EXTINTA,
04J/01H,FOZ DO BORRALHA,782,41.661,-7.981,212670.861,521329.096,CÁVADO/RIBEIRAS COSTEIRAS,RIBEIRA AMIAR OU DA BORRALHA,51.34,-,VILA REAL,MONTALEGRE,SALTO,-,CCDR-NORTE,-,LIMNIMÉTRICA,01-10-1940,31-10-1948,-,-,NÃO,EXTINTA,
15K/02H,FOZ DO COBRÃO (R.E.),132,39.73,-7.769,231228.972,306912.213,TEJO,RIO OCREZA,975.5,120.34,CASTELO BRANCO,VILA VELHA DE RÓDÃO,VILA VELHA DE RÓDÃO,-,EDP,-,LIMNIMÉTRICA,07-10-1997,-,-,-,NÃO,ATIVA,
14D/01H,FOZ DO LIS,3,39.88,-8.963,128971.708,323878.521,LIS/RIBEIRAS COSTEIRAS,RIO LIS,875.85,-,LEIRIA,MARINHA GRANDE,VIEIRA DE LEIRIA,-,CCDR-CENTRO,-,ESCALA,01-10-1940,30-09-1946,-,-,NÃO,EXTINTA,
01G/03H,FOZ DO MOURO,12,42.077,-8.391,178669.789,567546.33,MINHO,RIO MINHO,15407.29,6.19,VIANA DO CASTELO,MONÇÃO,CEIVÃES,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,02-09-2003,-,SIM,ATIVA,
01G/02H,FOZ DO MOURO (R.E.),11,42.076,-8.39,178742.146,567472.365,MINHO,RIO MINHO,15407.24,6.18,VIANA DO CASTELO,MONÇÃO,CEIVÃES,-,EDP,-,LIMNIMÉTRICA,30-08-1973,-,-,-,NÃO,EXTINTA,
30H/02H,FOZ DO RIBEIRO,131,37.307,-8.241,190420.604,37871.355,ARADE,RIO ARADE,82,122.38,FARO,SILVES,SÃO BARTOLOMEU DE MESSINES,Autoridade Nacional da Água,CCDR-ALGARVE,SENSOR DE NÍVEL,ESCALA,01-10-1964,31-10-1985,31-07-2007,-,SIM,ATIVA,
16L/01H,FOZ DO SEVER,94,39.662,-7.545,250428.541,299469.584,TEJO,RIO TEJO,58942.57,67.51,CASTELO BRANCO,VILA VELHA DE RÓDÃO,PERAIS,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,01-09-1966,30-09-1978,-,-,NÃO,EXTINTA,
13E/03H,FOZ DO SOURE,6,40.145,-8.671,154184.599,353070.768,MONDEGO,RIO ARUNCA,506.16,-,COIMBRA,SOURE,VILA NOVA DE ANÇOS,-,CCDR-CENTRO,-,ESCALA,01-10-1937,30-09-1974,-,-,NÃO,EXTINTA,
07F/03H,FOZ DO SOUSA,5,41.094,-8.501,169067.864,458430.706,DOURO,RIO SOUSA,555.37,-,PORTO,GONDOMAR,FOZ DO SOUSA,Autoridade Nacional da Água,CCDR-NORTE,SENSOR DE NÍVEL,LIMNIMÉTRICA,19-03-1978,31-10-1985,08-09-2003,04-02-2016,NÃO,DESATIVADA,
16H/01H,FOZ DO SOUTO,129,39.582,-8.256,189475.852,290440,TEJO,RIO ZÊZERE,3915.02,36.96,SANTARÉM,TOMAR,SERRA,-,CCDR-LVT,-,ESCALA,01-10-1934,30-09-1948,-,-,NÃO,EXTINTA,
06M/02H,FOZ DO TUA,93,41.213,-7.43,258987.915,471725.815,DOURO,RIO TUA,3819.44,-,BRAGANÇA,CARRAZEDA DE ANSIÃES,CASTANHEIRO,-,CCDR-NORTE,-,ESCALA,01-10-1934,31-05-1941,-,-,NÃO,EXTINTA,
08H/04H,FRAGAS DA TORRE,176,40.93947635,-8.18033386,196024.729,441159.079,DOURO,RIO PAIVA,646.68,155.77,AVEIRO,AROUCA,ALVARENGA,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,28-07-2003,-,SIM,ATIVA,
08H/02H,FRAGAS DA TORRE (R.E.),165,40.941,-8.18,196025.22,441273.35,DOURO,RIO PAIVA,646.74,155.77,AVEIRO,AROUCA,ALVARENGA,-,EDP-INAG,-,LIMNIMÉTRICA,16-11-1945,-,-,-,NÃO,ATIVA,
07F/01H,FREIXO (R.E.),0,41.14,-8.576,162825.616,463553.458,DOURO,RIO DOURO,97644.92,-2.06,PORTO,PORTO,CAMPANHÃ,-,EDP,-,LIMNIMÉTRICA,02-07-1965,06-07-1981,-,-,NÃO,EXTINTA,
06I/03H,FRIDÃO (R.E.),111,41.322,-8.023,209229.87,483632.91,DOURO,RIO TÂMEGA,2616.41,73.03,PORTO,AMARANTE,FRIDÃO,-,EDP,-,LIMNIMÉTRICA,07-10-1985,-,-,-,NÃO,ATIVA,
12I/01H,FRONHAS (R.E.),118,40.246,-8.164,197390.944,364180,MONDEGO,RIO ALVA OU RIBEIRA DA FERVENÇA,640.85,85.11,COIMBRA,ARGANIL,POMBEIRO DA BEIRA,-,EDP,-,LIMNIMÉTRICA,26-02-1976,30-09-2011,-,-,NÃO,EXTINTA,
H0010H,FUNGALVAZ,-,-,-,-,-,TEJO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
16G/01H,FÁBRICA DA MATRENA,50,39.532,-8.379,178825.972,284905.982,TEJO,RIO NABÃO,1047.15,28.14,SANTARÉM,TOMAR,SÃO PEDRO DE TOMAR,Autoridade Nacional da Água,CCDR-LVT,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1941,-,17-12-1996,-,SIM,ATIVA,
H008H,FÁBRICA DA RENOVA,-,-,-,-,-,TEJO,RIO ALMONDA,-,-,-,-,-,-,-,-,-,-,-,-,-,NÃO,-,
13H/01H,FÁBRICA DO BOQUE (SERPINS),102,40.156,-8.225,192181.482,354188.214,MONDEGO,RIO CEIRA,346.12,92.72,COIMBRA,LOUSÃ,SERPINS,-,CCDR-CENTRO,-,LIMNIMÉTRICA,01-10-1921,30-09-1992,-,-,NÃO,EXTINTA,
17C/05H,GAEIRAS (R.E.),26,39.357,-9.125,114509.271,265921,RIBEIRAS DO OESTE,RIO ARNOIA,100.82,-,LEIRIA,ÓBIDOS,GAEIRAS,-,EDP,-,Limnigráfica,25-09-1980,30-09-1985,-,-,NÃO,EXTINTA,
20I/02H,GAMEIRO,64,38.955,-8.11,202019.688,220787.74,TEJO,RIBEIRA DA RAIA OU DE SEDA,3276.92,-,ÉVORA,MORA,CABEÇÃO,-,CCDR-ALENTEJO,-,LIMNIMÉTRICA,01-02-1963,30-09-1974,-,-,NÃO,EXTINTA,
04H/01H,GARFE,141,41.542,-8.249,190351.533,508035.483,AVE,RIO AVE,192.74,-,BRAGA,PÓVOA DE LANHOSO,TAÍDE,Autoridade Nacional da Água,CCDR-NORTE,SENSOR DE NÍVEL,LIMNIMÉTRICA,01-10-1985,-,25-06-2003,-,NÃO,ATIVA,
13H/04H,GEVIM,95,40.142,-8.263,188974.017,352595.518,MONDEGO,RIO CEIRA,41.36,-,COIMBRA,LOUSÃ,LOUSÃ,Autoridade Nacional da Água,-,SENSOR DE NÍVEL,-,-,-,09-05-2002,-,SIM,ATIVA,
03Q/01H,GIMONDE (R.E.),508,41.798,-6.696,319467.782,537475.707,DOURO,RIO SABOR,405.59,503.54,BRAGANÇA,BRAGANÇA,GIMONDE,-,EDP,-,LIMNIMÉTRICA,01-01-1957,-,-,-,NÃO,ATIVA,
21L/01H,HERDADE DA DEFESA,234,38.797,-7.652,241832.404,203392.669,TEJO,RIBEIRA DE TERA,103.71,-,ÉVORA,ESTREMOZ,ESTREMOZ (SANTA MARIA),-,CCDR-ALENTEJO,-,ESCALA,01-10-1955,15-03-1976,-,-,NÃO,EXTINTA,
